Area_ID,Latitude,Longitude,Crime_Count,Violent_Crime,Theft_Count,Assault_Count,Harassment_Count,Hour,Day,Month,Weekend,Streetlight_Count,Working_Streetlights,Broken_Streetlights,Population_Density,Footfall,Bus_Stop_Count,Metro_Distance_km,Police_Distance_km,Hospital_Distance_km,School_Count,Commercial_Area,Residential_Area,Weather,Visibility,CCTV_Count,Previous_Risk,Crime_Trend,Emergency_Calls,Risk_Level
1,12.994299658899898,80.0905095043547,12,2,9,0,2,20,Mon,9,1,69,63,6,1728,704,13,1.14,5.26,1.18,1,0,1,Sunny,Good,72,Medium,Decreasing,36,Low
2,13.385753063355752,80.02794960837065,69,7,36,4,3,4,Thu,3,1,76,55,21,6422,844,17,9.62,7.02,4.53,2,0,1,Sunny,Poor,72,High,Decreasing,31,High
3,13.266337264988485,80.2793611195038,23,11,12,3,8,14,Mon,4,0,15,11,4,10338,4302,19,5.22,5.99,5.44,2,1,0,Fog,Good,15,Medium,Stable,59,Medium
4,13.377211450047266,80.04657228930847,43,11,31,9,2,17,Tue,6,0,63,61,2,3566,2211,22,10.0,5.74,0.82,9,1,1,Fog,Medium,82,Medium,Stable,1,Medium
5,13.166551726089846,80.29621579673419,31,12,12,7,5,6,Tue,3,0,15,14,1,15218,3290,27,13.26,6.64,9.85,17,1,0,Fog,Medium,35,Low,Increasing,9,Medium
6,12.939174120091723,80.14000165020852,33,9,0,2,7,15,Thu,3,0,58,41,17,12599,4995,16,14.3,6.84,8.32,19,1,1,Sunny,Medium,83,Low,Stable,25,Medium
7,13.180573739411425,80.03734869297121,20,1,10,0,1,2,Mon,8,0,18,18,0,19072,1239,2,14.24,6.49,7.4,6,1,1,Fog,Good,78,Medium,Stable,38,Low
8,12.869212109665291,80.29284083542125,10,1,1,1,0,14,Wed,5,0,38,31,7,23177,1322,11,3.16,6.24,11.43,4,1,0,Sunny,Poor,88,High,Stable,44,Low
9,13.344955126197824,80.21341770189376,42,20,7,19,1,7,Wed,9,0,29,26,3,13629,1857,0,7.44,2.48,8.8,8,1,1,Rain,Good,60,Medium,Decreasing,51,High
10,12.848322875293176,80.06129428845725,61,19,39,0,19,15,Thu,4,1,66,46,20,11772,694,22,1.89,10.03,4.72,6,1,0,Cloudy,Medium,61,Medium,Decreasing,51,High
11,13.040832090720622,80.56807820387894,3,0,3,0,0,23,Wed,3,1,65,44,21,11982,1277,23,2.05,6.63,0.27,20,0,1,Cloudy,Medium,13,Low,Increasing,52,Medium
12,12.927667875407488,80.30069715190174,53,26,4,1,25,18,Fri,9,0,50,36,14,22207,4778,28,7.8,9.8,9.94,16,0,1,Cloudy,Poor,16,Low,Stable,55,High
13,12.802359489095386,80.47950227029533,15,0,10,0,0,5,Fri,10,1,18,14,4,2361,2035,14,0.73,2.38,1.26,17,1,0,Sunny,Medium,3,Medium,Stable,44,Low
14,13.119971262547503,80.28682179081925,71,12,53,7,5,7,Sat,5,0,22,16,6,4485,3214,2,1.18,5.36,2.96,6,0,1,Rain,Good,85,High,Decreasing,60,High
15,13.01970997367641,80.15186470247582,12,3,7,1,2,4,Thu,4,0,33,31,2,23644,3535,11,6.12,11.93,5.11,10,1,1,Rain,Good,11,Low,Decreasing,28,Medium
16,12.998898733485195,80.37435624433512,29,14,3,1,13,16,Sun,2,0,38,34,4,1797,1487,29,2.03,3.32,5.12,8,1,1,Cloudy,Poor,51,Low,Stable,5,Medium
17,13.21292334280913,80.25519022447743,11,2,1,2,0,2,Wed,1,1,33,32,1,9165,996,29,5.15,5.5,6.68,8,0,1,Cloudy,Good,79,Low,Increasing,60,Low
18,12.83022783032572,80.1210609492611,26,4,14,4,0,9,Sat,9,0,27,23,4,11870,148,16,0.65,11.93,0.32,17,1,0,Fog,Good,24,Medium,Decreasing,42,Medium
19,13.09700094407457,80.50076835999813,27,3,10,1,2,12,Sat,5,0,22,16,6,11888,445,28,0.31,10.06,7.54,8,0,1,Cloudy,Good,55,High,Stable,42,Medium
20,13.38255798942715,80.35926704813039,23,2,8,1,1,22,Thu,8,0,5,4,1,12432,2694,30,8.25,11.67,3.01,9,0,1,Rain,Good,27,Low,Stable,21,Medium
